movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes
tt0443272,Lincoln,2012,150.0,"Biography,Drama,History",7.4,228701
tt0443331,Milenge Milenge,2010,109.0,"Drama,Romance",4.1,1571
tt0443465,Before We Go,2014,95.0,"Comedy,Drama,Romance",6.8,45181
tt0443533,The History of Love,2016,134.0,"Drama,Romance,War",6.3,1024
tt0444531,Vidas pequeñas,2010,115.0,Drama,6.0,68
tt0445054,7 Days,2010,105.0,"Crime,Drama,Horror",6.5,6705
tt0446029,Scott Pilgrim vs. the World,2010,112.0,"Action,Comedy,Fantasy",7.5,339338
tt0448022,A Bird of the Air,2011,108.0,"Drama,Romance",6.6,1061
tt0448115,Shazam!,2019,132.0,"Action,Adventure,Comedy",7.4,109051
tt0448694,Puss in Boots,2011,90.0,"Action,Adventure,Animation",6.6,133355
tt0449005,Diary of a Bad Lad,2010,92.0,"Comedy,Crime",4.0,144
tt0451108,Mad World,2010,98.0,Drama,6.3,313
tt0451154,The Passing,2011,92.0,Horror,3.4,174
tt0451201,Clawed,2017,95.0,Horror,5.8,363
tt0451279,Wonder Woman,2017,141.0,"Action,Adventure,Fantasy",7.5,487527
tt0452183,Blunt Movie,2013,83.0,"Comedy,Romance",6.4,77
tt0452664,Party Crashers,2012,88.0,Comedy,5.4,907
tt0453562,42,2013,128.0,"Biography,Drama,Sport",7.5,77703
tt0454155,El hada buena - Una fábula peronista,2010,85.0,"Comedy,Drama,Sci-Fi",6.4,19
tt0454876,Life of Pi,2012,127.0,"Adventure,Drama,Fantasy",7.9,535836
tt0455323,Being Flynn,2012,102.0,Drama,6.4,15780
tt0455407,The Crazies,2010,101.0,"Horror,Thriller",6.5,104465
tt0455944,The Equalizer,2014,132.0,"Action,Crime,Thriller",7.2,302302
tt0457591,Memorias del desarrollo,2010,113.0,Drama,7.0,58
tt0458339,Captain America: The First Avenger,2011,124.0,"Action,Adventure,Sci-Fi",6.9,668137
tt0458413,A Long Way Down,2014,96.0,"Comedy,Drama",6.4,29260
tt0458481,Sin City: A Dame to Kill For,2014,102.0,"Crime,Thriller",6.5,140666
tt0459748,Generation P,2011,112.0,"Comedy,Drama,Sci-Fi",6.8,3358
tt0460528,One Step Beyond: The True Story of Géraldine Fasnacht,2012,56.0,Documentary,8.5,26
tt0460778,Drunkboat,2010,98.0,Drama,4.9,555
tt0460809,The Grasslands,2011,114.0,Drama,8.6,17
tt0460890,The Only Living Boy in New York,2017,89.0,Drama,6.3,8727
tt0460957,Texxas Jam '78,2012,60.0,Documentary,8.5,8
tt0461336,Saving Private Perez,2011,105.0,"Adventure,Comedy,Western",6.0,1727
tt0462036,Steve Phoenix: The Untold Story,2012,110.0,Drama,5.5,18
tt0462335,High-Rise,2015,119.0,"Drama,Horror,Sci-Fi",5.6,33746
tt0462516,Satan Hates You,2010,94.0,Horror,4.6,205
tt0463311,Federal,2010,91.0,"Drama,Thriller",3.2,374
tt0463960,The Devil You Know,2013,76.0,"Mystery,Thriller",3.6,1470
tt0464032,"Guns, Drugs and Dirty Money",2010,123.0,"Action,Comedy,Crime",8.0,39
tt0464054,House at the End of the Drive,2014,91.0,"Horror,Thriller",6.5,331
tt0464154,Piranha 3D,2010,88.0,"Comedy,Horror",5.4,81327
tt0464162,Komaram Puli,2010,163.0,"Action,Crime,Thriller",3.8,1423
tt0464891,Act Your Age,2011,101.0,"Comedy,Drama",6.5,85
tt0465637,Taken by Force,2010,90.0,"Action,Drama",7.8,33
tt0466893,Margaret,2011,150.0,Drama,6.5,14708
tt0469021,Alan Partridge,2013,90.0,"Action,Comedy,Crime",6.9,27986
tt0469094,Harlem Hostel,2010,81.0,"Comedy,Drama",4.1,128
tt0469152,Smoking/Non-Smoking,2011,84.0,Drama,7.2,88
tt0470752,Ex Machina,2014,108.0,"Drama,Mystery,Sci-Fi",7.7,424542
tt0470936,"Hot Country, Cold Winter",2016,104.0,Drama,4.0,62
tt0471042,Tower Heist,2011,104.0,"Action,Comedy,Crime",6.2,125102
tt0472181,The Smurfs,2011,103.0,"Adventure,Animation,Comedy",5.5,77577
tt0472399,The Mechanic,2011,93.0,"Action,Crime,Thriller",6.6,141254
tt0473075,Prince of Persia: The Sands of Time,2010,116.0,"Action,Adventure,Fantasy",6.6,254975
tt0473343,Cielito lindo,2010,91.0,"Drama,Thriller",6.9,35
tt0475290,"Hail, Caesar!",2016,106.0,"Comedy,Drama,Music",6.3,111422
tt0476023,Stiffs,2010,104.0,Comedy,7.3,64
tt0477080,Unstoppable,2010,98.0,"Action,Thriller",6.8,173019
tt0477302,Extremely Loud & Incredibly Close,2011,129.0,"Adventure,Drama,Mystery",6.9,93164
tt0478304,The Tree of Life,2011,139.0,"Drama,Fantasy",6.8,156266
tt0478660,El horror de la dama del lago,2010,90.0,"Fantasy,Horror,Thriller",6.2,10
tt0478970,Ant-Man,2015,117.0,"Action,Adventure,Comedy",7.3,501213
tt0479051,The Greater Meaning of Water,2010,60.0,"Drama,Sport",6.5,40
tt0479204,Perfect Life,2010,98.0,"Horror,Thriller",4.3,399
tt0479997,Season of the Witch,2011,95.0,"Action,Adventure,Fantasy",5.4,85777
tt0480239,Atlas Shrugged: Part I,2011,97.0,"Drama,Mystery,Sci-Fi",5.7,12524
tt0480255,The Losers,2010,97.0,"Action,Adventure,Crime",6.4,83876
tt0480687,Hall Pass,2011,105.0,"Comedy,Romance",5.9,113775
tt0481470,Felix Austria!,2013,77.0,"Biography,Documentary,History",7.5,12
tt0481499,The Croods,2013,98.0,"Action,Adventure,Animation",7.2,176699
tt0482459,Bandage,2010,119.0,"Drama,Music,Romance",6.8,402
tt0482461,Barry Munday,2010,95.0,"Comedy,Drama,Romance",5.9,3846
tt0483586,Chasing 3000,2010,115.0,"Family,Sport",6.5,759
tt0484828,La daga de Rasputín,2011,99.0,"Adventure,Comedy",3.0,186
tt0485061,U Want Me 2 Kill Him?,2013,92.0,"Drama,Thriller",6.3,2288
tt0485521,Sushi in Suhl,2012,100.0,"Comedy,Drama",6.3,336
tt0485985,Red Tails,2012,125.0,"Action,Adventure,Drama",5.9,31815
tt0486622,Making Change,2012,94.0,Drama,6.7,59
tt0490075,Aftermath,2013,84.0,"Crime,Thriller",5.1,271
tt0490199,PrimeMates,2010,82.0,"Comedy,Drama",6.7,63
tt0490215,Silence,2016,161.0,"Adventure,Drama,History",7.2,85242
tt0490236,The Invited,2010,95.0,"Horror,Thriller",4.2,240
tt0490847,Double Tap,2011,100.0,"Action,Crime,Drama",5.2,52
tt0491152,Something Borrowed,2011,112.0,"Comedy,Drama,Romance",5.9,54314
tt0491175,Suburbicon,2017,105.0,"Comedy,Crime,Drama",5.6,31294
tt0491203,Tulip Fever,2017,105.0,"Drama,History,Romance",6.2,15037
tt0492389,Furry Vengeance,2010,92.0,"Comedy,Family",3.8,14700
tt0493076,Nina,2016,90.0,"Biography,Drama,Music",5.3,2246
tt0493405,CHIPS,2017,100.0,"Action,Comedy,Crime",6.0,37029
tt0493949,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",6.6,16086
tt0494229,Good Sharma,2010,100.0,Drama,7.3,22
tt0495024,Bad Blood,2012,107.0,"Horror,Mystery,Romance",5.6,78
tt0495037,O Inimigo Sem Rosto,2010,85.0,"Crime,Drama",6.2,12
tt0496375,Prisoners of the Sun,2013,85.0,"Action,Adventure,Horror",3.7,1106
tt0498351,The Hero of Color City,2014,77.0,"Animation,Family",4.0,431
tt0498381,Rings,2017,102.0,"Drama,Horror,Mystery",4.5,34151
tt0756727,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),2010,116.0,"Biography,Documentary,Music",7.7,1332
tt0758752,Love & Other Drugs,2010,112.0,"Comedy,Drama,Romance",6.7,167680
tt0762138,Syrup,2013,90.0,"Comedy,Drama,Romance",5.7,10228
tt0763831,A Thousand Words,2012,91.0,"Comedy,Drama",5.9,36387
tt0765446,Escape from Planet Earth,2013,89.0,"Adventure,Animation,Comedy",5.9,23298
tt0765465,The Legend of Secret Pass,2019,92.0,"Animation,Family,Fantasy",4.9,331
tt0765485,Waste of Space,2010,78.0,"Adventure,Comedy,Sci-Fi",5.2,54
tt0768187,Me and My Umbrella,2010,78.0,"Family,Fantasy",6.1,111
tt0768222,Night of the Templar,2013,101.0,"Horror,Mystery",5.9,5392
tt0770703,What's Your Number?,2011,106.0,"Comedy,Romance",6.1,67922
tt0770728,California Indian,2011,90.0,Drama,6.0,20
tt0770778,King of the Avenue,2010,83.0,"Drama,Fantasy,Thriller",4.0,449
tt0770802,Samsara,2011,102.0,"Documentary,Music",8.5,29725
tt0770828,Man of Steel,2013,143.0,"Action,Adventure,Sci-Fi",7.1,647288
tt0772175,Jersey Justice,2014,100.0,"Action,Thriller",7.2,115
tt0772179,Kill,2011,90.0,"Comedy,Horror,Thriller",4.5,95
tt0774519,The Chosen Heaven,2010,123.0,"Drama,Thriller",6.3,19
tt0775440,Cell,2016,98.0,"Action,Drama,Horror",4.3,21968
tt0775461,The Rain Fairy,2010,100.0,"Family,Fantasy",5.4,70
tt0775489,The Illusionist,2010,80.0,"Animation,Drama",7.5,31734
tt0775543,Night Catches Us,2010,90.0,"Drama,Romance",6.3,1390
tt0780504,Drive,2011,100.0,"Crime,Drama",7.8,521495
tt0780548,Kid Cannabis,2014,110.0,"Biography,Comedy,Crime",6.4,8924
tt0780625,Santorini Blue,2013,90.0,"Comedy,Drama",4.6,124
tt0780645,War of the Dead,2011,86.0,"Action,Adventure,Horror",4.1,2378
tt0780653,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",5.8,97873
tt0781441,Escalade,2011,80.0,Thriller,4.5,43
tt0787442,The Attack,2012,102.0,"Drama,Mystery,War",7.1,3733
tt0787474,The Boxtrolls,2014,96.0,"Adventure,Animation,Comedy",6.8,50763
tt0787524,The Man Who Knew Infinity,2015,108.0,"Biography,Drama",7.2,43575
tt0790628,The Incredible Burt Wonderstone,2013,100.0,"Adventure,Comedy,Fantasy",5.9,67549
tt0790636,Dallas Buyers Club,2013,117.0,"Biography,Drama",8.0,402462
tt0790653,Elliot Loves,2012,92.0,"Comedy,Romance",6.2,463
tt0790663,The First Grader,2010,103.0,"Biography,Drama,Romance",7.5,4052
tt0790724,Jack Reacher,2012,130.0,"Action,Crime,Thriller",7.0,284547
tt0790736,R.I.P.D.,2013,96.0,"Action,Adventure,Comedy",5.6,109078
tt0790770,Miles Ahead,2015,100.0,"Biography,Drama,Music",6.4,8498
tt0790788,The Yellow Wallpaper,2012,115.0,Thriller,6.6,1695
tt0795459,Wilde Salomé,2011,95.0,"Documentary,Drama",6.8,748
tt0795461,Scary Movie 5,2013,86.0,Comedy,3.5,60139
tt0798817,13,2010,91.0,"Drama,Thriller",6.1,38418
tt0800054,The Guardians,2010,88.0,"Comedy,Family",7.8,68
tt0800092,Ironmen,2010,119.0,"Biography,Drama",4.3,6
tt0800320,Clash of the Titans,2010,106.0,"Action,Adventure,Fantasy",5.8,256176
